cohort,month,no.fam,no.tank,count,mean.sl
2019,5,26,76,11064,3.89
2019,6,26,76,8835,4.55
2019,7,26,76,8178,7.24
2019,8,26,70,7978,10.78
2019,9,26,63,7478,9.21
2019,10,25,63,7278,14.65
2019,11,25,63,7000,17.13
2020,5,28,79,48382,3.2
2020,6,24,78,33240,4.57
2020,7,24,78,32740,5.47
2020,8,22,56,27770,6.02
2020,9,22,56,18237,5.72
2020,10,22,56,17737,5.04
2020,11,22,56,17000,5.04
2021,1,18,50,"5,800",3.81
2021,3,16,50,4000,3.67
2021,5,15,31,3939,7.22
2021,6,14,31,3771,9.79
2021,7,14,31,3651,11.01
2021,8,14,19,3531,13.05
2021,9,14,19,3411,13.1
2021,10,14,19,3291,14.51
2021,11,14,19,3097,10.37
